,w_star,method,gamma,N,expected_return,wasserstein_distance
94,"[0.00000000e+00 5.55111512e-17 2.77555756e-16 1.00000000e+00
 4.94049246e-15]",Bayesian,1.0,100,28.68000000000013,2.1427304375726532e-15
95,"[0.00000000e+00 1.11022302e-15 0.00000000e+00 1.00000000e+00
 1.44328993e-15]",Bayesian,1.0,200,28.680000000000064,1.598721154132653e-15
96,"[4.44671073e-01 4.94396191e-17 1.90819582e-17 5.55328927e-01
 0.00000000e+00]",Bayesian,5.0,50,27.53719534239,0.11597469717618268
97,"[6.93101903e-04 4.40619763e-16 2.42861287e-17 9.99306898e-01
 0.00000000e+00]",Bayesian,5.0,100,28.678218725327344,0.061616491243217414
98,"[2.53310700e-01 0.00000000e+00 1.31838984e-16 7.46689300e-01
 3.29597460e-17]",Bayesian,5.0,200,28.028991501000004,0.039430547976182714
99,"[7.05546732e-14 9.17627085e-13 0.00000000e+00 1.00000000e+00
 1.37589939e-12]",Bayesian,0.1,50,28.680000000058243,0.06425209236394969
100,[0.         0.         0.17856153 0.82143847 0.        ],Bayesian,0.1,100,28.7192835366,0.007172519649595244
101,"[0.00000000e+00 2.42028619e-14 1.52655666e-14 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200,28.68000000000105,0.06425209236441462
102,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.63677968e-15]",Bayesian,1.0,50,28.680000000000064,1.6930901118564142e-15
103,"[2.49800181e-16 0.00000000e+00 2.77555756e-15 1.00000000e+00
 1.05471187e-15]",Bayesian,1.0,100,28.68000000000011,1.9040324863326533e-15
104,"[7.49400542e-16 0.00000000e+00 4.44089210e-16 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,200,28.68000000000003,1.437738816843961e-15
105,"[4.69024254e-01 0.00000000e+00 8.67361738e-17 5.30975746e-01
 0.00000000e+00]",Bayesian,5.0,50,27.47460766722,0.1257159695761827
106,"[1.02800906e-01 7.89299182e-17 8.20665511e-02 8.15132543e-01
 6.66242235e-17]",Bayesian,5.0,100,28.43385631569,0.03282662042000005
107,"[0.00000000e+00 2.28983499e-16 6.59194921e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,200,28.680000000000007,0.06189373202381729
108,"[9.60287405e-13 4.26211844e-12 0.00000000e+00 1.00000000e+00
 7.80059350e-12]",Bayesian,0.1,50,28.680000000321137,0.06425209236181792
109,"[0.00000000e+00 0.00000000e+00 1.00000000e+00 5.82645043e-13
 0.00000000e+00]",Bayesian,0.1,100,28.90000000001671,0.06425209236430598
110,[0.        0.        0.4579165 0.5420835 0.       ],Bayesian,0.1,200,28.78074163,0.11891450764959524
111,"[8.60422844e-16 2.49800181e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.680000000000028,1.376676550643961e-15
112,"[0.00000000e+00 0.00000000e+00 8.88178420e-16 1.00000000e+00
 1.58206781e-15]",Bayesian,1.0,100,28.680000000000064,1.582067810132653e-15
113,[0.0000000e+00 2.2759572e-15 0.0000000e+00 1.0000000e+00 0.0000000e+00],Bayesian,1.0,200,28.680000000000057,1.6209256158564141e-15
114,"[7.06966438e-01 0.00000000e+00 9.19403442e-17 2.93033562e-01
 1.90819582e-16]",Bayesian,5.0,50,26.863096254340007,0.05531969277618273
115,"[8.69673450e-01 0.00000000e+00 0.00000000e+00 1.30326550e-01
 3.87927537e-16]",Bayesian,5.0,100,26.444939233500012,0.00976311202381738
116,"[4.39243993e-02 4.51028104e-17 0.00000000e+00 9.56075601e-01
 0.00000000e+00]",Bayesian,5.0,200,28.567114302403,0.04432397236381733
117,"[1.39124891e-11 1.44914583e-11 4.64766167e-02 9.53523383e-01
 1.74237184e-11]",Bayesian,0.1,50,28.690224848219888,0.04566144561957028
118,[0.         0.         0.21586644 0.78413356 0.        ],Bayesian,0.1,100,28.7274906168,0.02209448364959525
119,"[0.00000000e+00 0.00000000e+00 2.68202127e-13 1.00000000e+00
 0.00000000e+00]",Bayesian,0.1,200,28.68000000000775,0.06425209236436888
120,"[0.00000000e+00 1.33226763e-15 0.00000000e+00 1.00000000e+00
 2.55351296e-15]",Bayesian,1.0,50,28.680000000000092,1.865174682132653e-15
121,"[0.00000000e+00 0.00000000e+00 3.05311332e-15 1.00000000e+00
 6.63358257e-15]",Bayesian,1.0,100,28.68000000000025,3.0253577421326534e-15
122,"[0.00000000e+00 0.00000000e+00 2.38697950e-15 1.00000000e+00
 5.60662627e-15]",Bayesian,1.0,200,28.680000000000202,2.6867397181326534e-15
123,"[0.00000000e+00 1.41553436e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50,28.680000000000035,0.06189373202381705
124,"[4.06401639e-02 0.00000000e+00 4.85722573e-17 9.59359836e-01
 0.00000000e+00]",Bayesian,5.0,100,28.575554775908998,0.04563766644381732
125,"[1.08924867e-01 2.25514052e-16 0.00000000e+00 8.91075133e-01
 0.00000000e+00]",Bayesian,5.0,200,28.400063091810004,0.018323785223817352
126,[0.         0.         0.96851985 0.03148015 0.        ],Bayesian,0.1,50,28.893074366999997,0.0516600323644225
127,[0.         0.         0.35347816 0.64652184 0.        ],Bayesian,0.1,100,28.7577651952,0.07713917164959525
128,[0.         0.         0.14764556 0.85235444 0.        ],Bayesian,0.1,200,28.7124820232,0.00519386836442251
129,"[0.00000000e+00 2.47024623e-15 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,50,28.680000000000064,1.659783421856414e-15
130,"[1.02695630e-15 0.00000000e+00 1.66533454e-15 1.00000000e+00
 0.00000000e+00]",Bayesian,1.0,100,28.680000000000074,1.6264767321326529e-15
131,"[4.44089210e-16 0.00000000e+00 1.38777878e-16 1.00000000e+00
 2.66453526e-15]",Bayesian,1.0,200,28.680000000000078,1.7374990337326533e-15
132,"[7.97972799e-16 8.32667268e-17 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,50,28.68000000000002,0.06189373202381718
133,"[1.66533454e-16 0.00000000e+00 5.55111512e-17 1.00000000e+00
 0.00000000e+00]",Bayesian,5.0,100,28.680000000000007,0.061893732023817295
134,"[1.11022302e-16 1.66533454e-16 0.00000000e+00 1.00000000e+00
 4.64905892e-16]",Bayesian,5.0,200,28.680000000000017,0.061893732023817274
135,[0.         0.         0.41119022 0.58880978 0.        ],Bayesian,0.1,50,28.770461848399997,0.10022399564959528
136,"[1.52114432e-12 4.64861483e-12 0.00000000e+00 1.00000000e+00
 8.60272964e-12]",Bayesian,0.1,100,28.680000000364924,0.064252092361468
137,[0.         0.         0.04291907 0.95708093 0.        ],Bayesian,0.1,200,28.6894421954,0.04708446436442251
138,"[0.00000000e+00 1.22124533e-15 0.00000000e+00 1.00000000e+00
 3.30291350e-15]",Bayesian,1.0,50,28.68000000000011,1.9928503301326532e-15
139,"[0.00000000e+00 3.88578059e-16 0.00000000e+00 1.00000000e+00
 2.02615702e-15]",Bayesian,1.0,100,28.68000000000006,1.570965579932653e-15
140,"[7.77156117e-16 0.00000000e+00 8.88178420e-16 1.00000000e+00
 2.10942375e-15]",Bayesian,1.0,200,28.680000000000096,1.842970221532653e-15
141,"[4.20284601e-01 0.00000000e+00 1.45716772e-16 5.79715399e-01
 5.07406617e-17]",Bayesian,5.0,50,27.59986857543,0.10622010837618272
142,"[3.16743938e-01 0.00000000e+00 1.56125113e-16 6.83256062e-01
 0.00000000e+00]",Bayesian,5.0,100,27.865968079340007,0.06480384317618272
143,"[3.73334743e-01 2.60208521e-18 1.86482774e-17 6.26665257e-01
 0.00000000e+00]",Bayesian,5.0,200,27.72052971049,0.0874401651761827
144,"[3.27154970e-13 1.90464311e-12 0.00000000e+00 1.00000000e+00
 3.56550900e-12]",Bayesian,0.1,50,28.680000000142773,0.06425209236326304
