,w_star,method,gamma,N,expected_return,mean_variance
131,"[2.14115123e-01 0.00000000e+00 4.59701721e-17 7.85884877e-01
 1.32272665e-16]",MLE,20,100,28.12972413359123,2.4046182023561973
132,"[3.99704663e-01 0.00000000e+00 4.51028104e-17 6.00295337e-01
 1.69569220e-16]",SAA,20,200,27.65275901523336,2.3575311605448848
133,"[4.03660255e-01 3.01287991e-04 7.15152352e-06 5.94007970e-01
 2.02333628e-03]",Bagging,20,200,27.632444236467958,2.3570983801621233
134,"[3.38967842e-01 1.56125113e-17 0.00000000e+00 6.61032158e-01
 1.18828558e-16]",MLE,20,200,27.80885264614483,2.3696575587835484
135,"[4.54201973e-01 1.67400815e-16 0.00000000e+00 5.45798027e-01
 0.00000000e+00]",SAA,20,50,27.512700930486744,2.3493697292563214
136,[0.43117968 0.04386115 0.00816958 0.51523368 0.00155591],Bagging,20,50,27.414465761420043,2.3665251241171372
137,"[4.57699115e-01 0.00000000e+00 2.42861287e-17 5.42300885e-01
 0.00000000e+00]",MLE,20,50,27.503713273421887,2.348933821492725
138,"[5.75153905e-01 0.00000000e+00 1.12757026e-17 4.24846095e-01
 2.77555756e-17]",SAA,20,100,27.201854463520846,2.340444818598371
139,[0.47690674 0.00320483 0.01386913 0.40182488 0.10419442],Bagging,20,100,26.977405244379966,2.386266110298929
140,"[4.80007443e-01 1.41271543e-16 0.00000000e+00 5.19992557e-01
 0.00000000e+00]",MLE,20,100,27.446380870304438,2.346402427243837
141,"[6.18948907e-01 1.04083409e-17 0.00000000e+00 3.81051093e-01
 4.51028104e-17]",SAA,20,200,27.089301308906293,2.340337368337488
142,[0.61473136 0.00452944 0.00082782 0.37718225 0.00272912],Bagging,20,200,27.07232430856514,2.342738791052809
143,"[7.21423976e-01 2.32452946e-16 0.00000000e+00 2.78576024e-01
 1.35308431e-16]",MLE,20,200,26.825940382733055,2.3465761999378056
144,"[4.63736789e-01 1.26634814e-16 1.30104261e-17 2.75387352e-17
 5.36263211e-01]",SAA,20,50,25.07501200332228,2.530084269675309
145,[0.41185329 0.12304477 0.02405715 0.0745755  0.36646929],Bagging,20,50,25.550752448880708,2.5375571645088817
146,"[4.36612281e-01 9.54097912e-18 0.00000000e+00 8.67361738e-18
 5.63387719e-01]",MLE,20,50,25.02266170327971,2.5422350121421124
147,"[5.49750600e-01 0.00000000e+00 0.00000000e+00 4.50249400e-01
 2.29850861e-17]",SAA,20,100,27.267140958722127,2.3412683010249564
148,"[5.31059160e-01 7.51635927e-17 3.97196678e-03 3.97804408e-01
 6.71644656e-02]",Bagging,20,100,27.013811696076313,2.3604861247899143
149,"[8.64942987e-01 2.34187669e-17 1.17093835e-17 1.35057013e-01
 5.63785130e-18]",MLE,20,100,26.45709652214714,2.370600836905582
150,"[9.77733785e-01 0.00000000e+00 9.71445147e-17 2.22662151e-02
 0.00000000e+00]",SAA,20,200,26.167224172750004,2.401999431092115
151,"[9.18291066e-01 7.41252762e-17 3.98064828e-17 6.97308194e-02
 1.19781146e-02]",Bagging,20,200,26.266090444597403,2.388026087034599
152,"[1.00000000e+00 0.00000000e+00 1.38777878e-17 8.32667268e-17
 0.00000000e+00]",MLE,20,200,26.110000000000014,2.4095000000000035
153,"[2.11240558e-01 1.38777878e-17 0.00000000e+00 7.88759442e-01
 1.81278603e-16]",SAA,20,50,28.137111764944237,2.4055821042466135
154,"[2.58126315e-01 6.07958126e-17 1.92886442e-02 7.11551703e-01
 1.10333369e-02]",Bagging,20,50,27.971208854864468,2.4139100082149225
155,"[9.86416398e-02 0.00000000e+00 2.34187669e-17 9.01358360e-01
 8.97719399e-17]",MLE,20,50,28.426490985773015,2.448968833087221
156,"[4.95688803e-01 0.00000000e+00 1.35308431e-16 5.04311197e-01
 0.00000000e+00]",SAA,20,100,27.40607977714074,2.344880966490048
157,"[5.19320759e-01 6.34078312e-05 5.37701936e-17 4.78389688e-01
 2.22614498e-03]",Bagging,20,100,27.335107971300946,2.3433534995506022
158,"[6.29178415e-01 8.67361738e-18 0.00000000e+00 3.70821585e-01
 8.84708973e-17]",MLE,20,100,27.063011474373038,2.3405515653299163
159,[0.85544904 0.         0.         0.14455096 0.        ],SAA,20,200,26.48149596776799,2.3684606186670756
160,"[8.01991937e-01 4.53090380e-02 3.70903022e-17 1.47307397e-01
 5.39162769e-03]",Bagging,20,200,26.437396034255435,2.3736160711873664
161,"[7.92237718e-01 0.00000000e+00 2.53486468e-16 2.07762282e-01
 0.00000000e+00]",MLE,20,200,26.643949063700582,2.3562008861552357
162,"[0.00000000e+00 3.46944695e-16 0.00000000e+00 1.00000000e+00
 0.00000000e+00]",SAA,20,50,28.680000000000014,2.496000000000004
163,"[7.53282990e-02 1.21281233e-02 8.31246579e-04 9.06248422e-01
 5.46390913e-03]",Bagging,20,50,28.41991696680109,2.457989665401038
164,"[0.00000000e+00 0.00000000e+00 1.00613962e-16 1.00000000e+00
 0.00000000e+00]",MLE,20,50,28.680000000000017,2.4960000000000035
165,"[4.41766241e-01 3.12250226e-17 0.00000000e+00 5.58233759e-01
 0.00000000e+00]",SAA,20,100,27.544660760230336,2.3510055970397943
166,[0.40138512 0.00964403 0.0040901  0.57370963 0.01117111],Bagging,20,100,27.565605279357523,2.3639890430735373
167,"[4.19490497e-01 1.14491749e-16 0.00000000e+00 5.80509503e-01
 0.00000000e+00]",MLE,20,100,27.601909421922223,2.3542706827333557
168,"[7.86980038e-01 2.98372438e-16 0.00000000e+00 2.13019962e-01
 9.71445147e-17]",SAA,20,200,26.65746130122822,2.3553370425602314
169,"[7.55240599e-01 8.05635398e-17 5.28581085e-17 2.16428347e-01
 2.83310535e-02]",Bagging,20,200,26.611541919685056,2.3582210564210246
170,"[8.50911258e-01 1.45716772e-16 0.00000000e+00 1.49088742e-01
 2.08166817e-17]",MLE,20,200,26.49315806720819,2.36746523801948
171,"[5.24445947e-01 0.00000000e+00 1.75505227e-16 3.63430649e-01
 1.12123403e-01]",SAA,20,50,26.827618600470288,2.3654797208659524
172,"[4.71339854e-01 9.17394956e-03 1.20737026e-16 2.92661175e-01
 2.26825021e-01]",Bagging,20,50,26.41611037647536,2.4005079269224487
173,"[5.55081794e-01 8.81278489e-17 0.00000000e+00 4.41497011e-01
 3.42119546e-03]",MLE,20,50,27.238044410365482,2.341648578483218
174,"[6.59194908e-01 6.59194921e-17 1.38777878e-17 3.40805092e-01
 0.00000000e+00]",SAA,20,100,26.98586908547226,2.341703167588787
175,"[6.27707193e-01 6.72609044e-03 4.23378577e-17 3.60776846e-01
 4.78987076e-03]",Bagging,20,100,27.021898561631964,2.3427618970337507
176,"[7.97692248e-01 2.91433544e-16 0.00000000e+00 2.02307752e-01
 0.00000000e+00]",MLE,20,100,26.629930922191328,2.357122372644761
177,"[3.88949135e-01 1.00613962e-16 0.00000000e+00 6.11050865e-01
 0.00000000e+00]",SAA,20,200,27.680400724017485,2.3594457834605347
178,"[3.66864460e-01 1.78092143e-02 7.43814561e-17 6.15326325e-01
 5.33602902e-17]",Bagging,20,200,27.67536036310146,2.3640548686631773
179,"[5.16280862e-01 0.00000000e+00 1.11022302e-16 4.83719138e-01
 1.16226473e-16]",MLE,20,200,27.353158184895126,2.3432064792240355
180,"[1.00000000e+00 6.50521303e-17 0.00000000e+00 0.00000000e+00
 4.20670443e-17]",SAA,20,50,26.110000000000007,2.409500000000002
181,[0.77714238 0.02738231 0.01263872 0.07527882 0.10755777],Bagging,20,50,26.10649801453105,2.4182708845201173
182,"[1.00000000e+00 0.00000000e+00 1.70219741e-17 4.46691295e-17
 0.00000000e+00]",MLE,20,50,26.110000000000007,2.4095000000000013
